,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
0,1250,Mohamed Salah,36,2954,32,25.13650297,10,8.344477602,143,62,1,0,F M S,Liverpool,31,23.61416531,35.30146545,5.898578152,2017
1,647,Harry Kane,37,3094,30,26.85989059,2,3.82044122,183,34,5,0,F S,Tottenham,28,24.5763841,28.51526607,7.961634368,2017
2,619,Sergio Agüero,25,1985,21,18.56861798,6,6.533229699,95,39,2,0,F S,Manchester City,17,15.52394257,23.70781487,7.512718818,2017
3,755,Jamie Vardy,37,3269,20,15.26696707,1,3.630826483,70,33,3,0,F,Leicester,15,10.69999075,15.58463357,1.977741713,2017
4,618,Raheem Sterling,33,2594,18,18.82996734,11,8.844115876,87,55,3,1,F S,Manchester City,17,18.06879849,33.65671702,12.14965661,2017
5,594,Romelu Lukaku,34,2869,16,15.46822083,7,5.47320641,86,33,4,0,F S,Manchester United,16,14.70705199,24.64303192,7.161954904,2017
6,482,Roberto Firmino,37,2814,15,10.76370741,7,7.678424988,84,56,1,0,F M S,Liverpool,14,10.00253859,27.83745162,12.62540293,2017
7,3277,Alexandre Lacazette,32,2235,14,13.83124102,4,4.839554826,67,36,1,0,F S,Arsenal,12,12.30890333,20.89855164,6.228630402,2017
8,5543,Gabriel Jesus,29,1692,13,15.36618899,3,2.30767536,55,18,6,0,F S,Manchester City,13,13.84385131,20.56147327,6.514697023,2017
9,453,Son Heung-Min,37,2315,12,11.02160304,6,6.592509059,75,38,0,0,D F M S,Tottenham,12,11.02160304,22.61797249,6.259736827,2017
10,701,Eden Hazard,34,2451,12,8.212463463,4,7.303086698,71,84,2,0,F M S,Chelsea,10,6.690125758,19.69134755,9.294950828,2017
11,750,Riyad Mahrez,36,2977,12,6.613531196,10,7.551042113,74,57,2,0,F M S,Leicester,12,6.613531196,15.85596088,6.466544289,2017
12,882,Glenn Murray,35,2204,12,12.3806009,0,1.238379757,52,16,9,0,F S,Brighton,8,7.813587754,8.483370035,1.65772211,2017
13,865,Marko Arnautovic,31,2343,11,9.801481921,6,4.447798945,71,34,5,1,F M S,West Ham,11,9.801481921,13.03737405,2.687311424,2017
14,1804,Álvaro Morata,31,2069,11,13.90470349,6,3.583239416,79,36,7,0,F M S,Chelsea,11,13.90470349,17.91270647,2.947013166,2017
15,318,Pierre-Emerick Aubameyang,13,1056,10,9.174377799,4,1.26414847,31,13,0,0,F S,Arsenal,9,7.65204015,10.67104025,2.366455566,2017
16,337,Leroy Sané,32,2421,10,6.24107523,15,9.04887654,56,58,4,0,D F M S,Manchester City,10,6.24107523,19.68399542,11.89868746,2017
17,629,Wayne Rooney,31,2301,10,8.905443045,2,2.281340353,45,34,5,0,F M S,Everton,7,4.33842989,8.366078531,4.4654293,2017
18,646,Christian Eriksen,37,3239,10,7.245938942,10,11.89304944,96,95,0,0,M,Tottenham,10,7.245938942,27.00611261,15.51144542,2017
19,838,Sadio Mané,29,2230,10,11.51815359,7,5.250221346,70,49,3,1,F M S,Liverpool,10,11.51815359,21.15878768,6.35125359,2017
20,4456,Chris Wood,24,1639,10,7.639506213,1,0.602707855,40,11,1,0,F S,Burnley,10,7.639506213,7.594883928,1.022325236,2017
21,5549,Luka Milivojevic,36,3087,10,7.874588201,1,1.264245063,42,21,8,0,M S,Crystal Palace,3,1.78538517,8.746629861,8.064285509,2017
22,498,Alexis Sánchez,31,2562,9,11.42260255,6,7.917655122,88,77,5,0,F M S,"Arsenal,Manchester United",8,9.900264879,22.28254551,9.066157701,2017
23,522,Wilfried Zaha,29,2551,9,9.735278444,3,5.29625611,64,53,5,0,F M S,Crystal Palace,9,9.735278444,16.1448081,3.001297561,2017
24,553,Anthony Martial,30,1589,9,6.30193397,5,5.435461966,49,33,1,0,F M S,Manchester United,8,5.540765133,13.70621817,5.228315458,2017
25,617,David Silva,29,2442,9,9.241164377,11,8.827986833,54,61,5,0,M S,Manchester City,9,9.241164377,30.25495454,18.98137961,2017
26,645,Dele Alli,36,2991,9,10.10495719,10,8.836119272,69,64,7,0,F M S,Tottenham,9,10.10495719,23.88597996,8.143442785,2017
27,4422,Ashley Barnes,36,2143,9,6.560562789,0,1.502727453,61,17,10,0,F M S,Burnley,9,6.560562789,8.709057148,1.906780348,2017
28,191,Chicharito,28,1524,8,5.248028547,0,1.422036468,29,21,3,0,F S,West Ham,8,5.248028547,6.960864821,1.8039865,2017
29,447,Kevin De Bruyne,37,3103,8,5.401730432,16,13.10172008,93,105,2,0,M S,Manchester City,8,5.401730432,33.50091541,22.89996365,2017
30,465,Joshua King,33,2458,8,6.555599365,3,4.888207009,51,38,3,0,F M S,Bournemouth,6,5.033261657,9.640528095,3.607054503,2017
31,468,Callum Wilson,28,2007,8,7.619610041,2,1.552441001,54,18,0,0,F S,Bournemouth,8,7.619610041,9.413971451,2.697103792,2017
32,558,Jesse Lingard,33,1836,8,8.04834903,5,3.581981851,56,26,2,0,F M S,Manchester United,8,8.04834903,13.90984166,5.560849579,2017
33,599,Oumar Niasse,22,1075,8,7.417298146,2,1.547133245,37,11,2,0,F S,Everton,8,7.417298146,9.197526079,1.383739926,2017
34,770,Ayoze Pérez,36,2502,8,6.86480207,5,5.451955587,60,36,3,0,F M S,Newcastle United,8,6.86480207,14.11595919,6.333310327,2017
35,888,Xherdan Shaqiri,36,3066,8,4.985688297,7,6.875527446,69,76,5,0,F M,Stoke,8,4.224519445,11.41641592,5.910622898,2017
36,239,Pascal Groß,38,2979,7,3.335027128,8,8.656005831,43,81,2,0,F M S,Brighton,6,2.573858298,12.2100704,5.425927224,2017
37,488,Philippe Coutinho,14,1132,7,3.639938954,6,4.951587982,54,40,0,0,F M S,Liverpool,7,3.639938954,9.052257478,3.709002366,2017
