,id,player_name,team_title,games,time,goals,xG,xG_diff,assists,xA,xA_diff,shots,key_passes,yellow_cards,npg,npxG,xGChain,xGBuildup
0,647,Harry Kane,Tottenham,35,3097,23,22.174858909100294,0.8251410908997059,14,7.577093588188291,6.422906411811709,138,49,1,19,19.130183439701796,24.995648321695626,4.451256847940385
1,1250,Mohamed Salah,Liverpool,37,3085,22,20.250846637412906,1.7491533625870943,5,6.528526101261377,-1.5285261012613773,126,55,0,16,15.683833638206124,28.968233548104763,9.800235655158758
2,1228,Bruno Fernandes,Manchester United,37,3117,18,16.0194544615224,1.9805455384775996,12,11.474995978176594,0.5250040218234062,121,95,6,9,8.40783962700516,26.911412378773093,11.93228487111628
3,453,Son Heung-Min,Tottenham,37,3139,17,11.023286756128073,5.976713243871927,10,9.512992469593883,0.48700753040611744,68,75,0,16,10.26211790367961,20.6719155497849,6.608751138672233
4,822,Patrick Bamford,Leeds,38,3085,17,18.401862610131502,-1.4018626101315022,7,3.7822465524077415,3.2177534475922585,107,30,3,15,16.87952494621277,23.394952706992626,4.131795546039939
5,5555,Dominic Calvert-Lewin,Everton,33,2878,16,18.210513669997454,-2.2105136699974537,0,2.101818833500147,-2.101818833500147,83,18,3,16,18.210513669997454,19.884306475520134,4.270797714591026
6,755,Jamie Vardy,Leicester,34,2848,15,19.94294610992074,-4.94294610992074,9,5.087881522253156,3.9121184777468443,82,28,1,7,13.0924265794456,18.227907367050648,2.41258773393929
7,8865,Ollie Watkins,Aston Villa,37,3330,14,16.280177645385265,-2.2801776453852654,5,5.314029491506517,-0.31402949150651693,98,45,2,13,14.757840014994144,22.014020785689354,5.3349911738187075
8,3277,Alexandre Lacazette,Arsenal,31,1939,13,12.028909418731928,0.9710905812680721,2,2.209213115274906,-0.20921311527490616,45,22,3,10,9.745402876287699,14.361542394384742,2.9379407837986946
9,314,Ilkay Gündogan,Manchester City,28,2033,13,9.566883080638945,3.433116919361055,2,3.8162196557968855,-1.8162196557968855,54,42,1,12,8.044545345939696,19.286811731755733,10.148374736309052
10,620,Kelechi Iheanacho,Leicester,25,1452,12,9.048596148379147,2.951403851620853,2,3.534099193289876,-1.534099193289876,59,28,1,12,8.287427310831845,13.961563635617495,3.4299153089523315
11,986,Danny Ings,Southampton,29,2200,12,8.276573244482279,3.723426755517721,4,2.3112305803224444,1.6887694196775556,57,22,1,10,6.7542355209589005,10.482218006625772,2.4790408574044704
12,468,Callum Wilson,Newcastle United,26,2079,12,13.59009125083685,-1.5900912508368492,5,3.046300631016493,1.9536993689835072,49,17,2,8,10.545415870845318,14.205592930316925,1.0525451973080635
13,4456,Chris Wood,Burnley,33,2765,12,12.954135425388813,-0.954135425388813,3,2.03811838850379,0.9618816114962101,70,23,0,10,11.431797690689564,13.585281524807215,2.1498517598956823
14,556,Marcus Rashford,Manchester United,37,2941,11,9.579709991812706,1.420290008187294,9,4.185122115537524,4.814877884462476,79,44,4,11,9.579709991812706,20.441910162568092,8.927207557484508
15,2251,Gareth Bale,Tottenham,20,909,11,5.797857677564025,5.202142322435975,2,1.842241395264864,0.15775860473513603,38,21,1,11,5.797857677564025,8.149640910327435,2.5945137250237167
16,838,Sadio Mané,Liverpool,35,2805,11,14.828547755256295,-3.828547755256295,7,7.787754854187369,-0.7877548541873693,94,61,3,11,14.828547755256295,24.99892319738865,6.057656282559037
17,522,Wilfried Zaha,Crystal Palace,30,2615,11,8.804439894855022,2.1955601051449776,2,3.7028211038559675,-1.7028211038559675,60,30,6,9,7.282102234661579,13.579472474753857,3.6344361882656813
18,7153,Matheus Pereira,West Bromwich Albion,33,2594,11,6.948316538706422,4.051683461293578,6,6.355539299547672,-0.35553929954767227,65,58,2,7,3.9036410860717297,10.857054157182574,3.75792377255857
19,318,Pierre-Emerick Aubameyang,Arsenal,29,2333,10,10.450051955878735,-0.4500519558787346,3,2.4313493398949504,0.5686506601050496,57,22,2,8,8.927714295685291,15.113904064521194,3.955129318870604
20,8288,Tomas Soucek,West Ham,38,3420,10,8.982983335852623,1.017016664147377,1,2.4447560105472803,-1.4447560105472803,64,18,7,10,8.982983335852623,16.99843479692936,8.716958418488503
21,618,Raheem Sterling,Manchester City,31,2539,10,12.050674013793468,-2.0506740137934685,7,6.628709886223078,0.3712901137769222,70,39,4,10,11.289505157619715,25.88372514024377,12.17315935343504
22,5612,Anwar El Ghazi,Aston Villa,28,1612,10,9.037517840974033,0.9624821590259671,0,1.8828656133264303,-1.8828656133264303,64,26,2,6,5.99284244235605,7.845562790520489,2.6913463715463877
23,5656,Nicolas Pepe,Arsenal,29,1602,10,6.000206441618502,3.999793558381498,1,1.0121600376442075,-0.012160037644207478,47,11,1,9,5.239037621766329,9.35974013991654,4.217725777998567
24,3294,Edinson Cavani,Manchester United,26,1355,10,8.603231720626354,1.3967682793736458,3,2.3172435145825148,0.6827564854174852,34,14,4,10,8.603231720626354,12.259187385439873,2.730645166710019
25,531,Michail Antonio,West Ham,26,1993,10,14.138838540762663,-4.138838540762663,5,3.1944228131324053,1.8055771868675947,63,27,3,10,14.138838540762663,19.273825880140066,2.7705206014215946
26,606,Christian Benteke,Crystal Palace,30,1824,10,7.457401188090444,2.5425988119095564,1,0.6976262861862779,0.30237371381372213,71,15,1,10,7.457401188090444,8.47283953242004,3.153553775511682
27,750,Riyad Mahrez,Manchester City,27,1961,9,6.23244518134743,2.7675548186525702,6,6.086525144055486,-0.08652514405548573,58,45,0,9,6.23244518134743,18.846324333921075,9.170806819573045
28,482,Roberto Firmino,Liverpool,36,2882,9,12.860213406383991,-3.8602134063839912,7,6.116863399744034,0.8831366002559662,83,44,2,9,12.860213406383991,25.271457761526108,10.198550110682845
29,558,Jesse Lingard,West Ham,16,1434,9,5.249168518930674,3.7508314810693264,4,2.329288413748145,1.670711586251855,42,18,3,8,3.726830892264843,10.095708649605513,5.690425142645836
30,6681,Harvey Barnes,Leicester,25,1954,9,6.697319919243455,2.302680080756545,4,1.7716880273073912,2.228311972692609,56,26,0,9,6.697319919243455,8.893774410709739,1.5948405284434557
31,7700,Che Adams,Southampton,36,2685,9,12.118734162300825,-3.118734162300825,5,5.227753505110741,-0.22775350511074066,55,37,1,9,12.118734162300825,14.486911714076996,2.7446243297308683
32,6854,Diogo Jota,Liverpool,19,1114,9,7.05772053822875,1.9422794617712498,0,1.7625210750848055,-1.7625210750848055,46,12,2,9,7.05772053822875,10.972974702715874,4.0760964918881655
33,6055,Phil Foden,Manchester City,28,1606,9,6.083393443375826,2.916606556624174,5,4.749281365424395,0.2507186345756054,45,36,0,9,6.083393443375826,13.83503944799304,5.486512366682291
34,5543,Gabriel Jesus,Manchester City,29,2053,9,9.653353471308947,-0.6533534713089466,4,3.5496952617540956,0.45030473824590445,55,31,2,9,9.653353471308947,17.878496561199427,6.233648158609867
35,6630,Joe Willock,Newcastle United,14,986,8,4.84517777711153,3.1548222228884697,0,0.6722021475434303,-0.6722021475434303,19,8,0,8,4.084008999168873,6.487727362662554,2.772796125151217
36,843,James Ward-Prowse,Southampton,38,3420,8,5.4420363157987595,2.5579636842012405,7,4.070979097858071,2.9290209021419287,43,60,5,5,2.3973609507083893,10.637730238959193,9.40103399939835
37,7711,David McGoldrick,Sheffield United,35,2409,8,7.6057522259652615,0.39424777403473854,1,1.11661896109581,-0.11661896109580994,71,17,7,8,7.6057522259652615,9.950739227235317,3.2536970684304833
38,8718,Stuart Dallas,Leeds,38,3412,8,4.457073524594307,3.542926475405693,2,2.084683418273926,-0.08468341827392578,48,26,7,8,4.457073524594307,18.534343764185905,13.809802262112498
39,6818,James Maddison,Leicester,31,2123,8,3.827569866552949,4.172430133447051,5,5.386723920702934,-0.38672392070293427,75,50,4,8,3.827569866552949,11.743431102484465,6.073130352422595
40,8720,Jack Harrison,Leeds,36,2871,8,6.254042700864375,1.7459572991356254,8,7.5230593085289,0.47694069147109985,46,59,2,8,6.254042700864375,19.39748965576291,8.035575423389673
41,3621,Neal Maupay,Brighton,33,2526,8,13.773534506559372,-5.773534506559372,2,4.277407880872488,-2.277407880872488,71,32,1,5,10.728932749480009,17.157539159059525,3.381784765049815
42,1776,Jarrod Bowen,West Ham,38,2599,8,7.988894352689385,0.011105647310614586,5,5.229475776664913,-0.2294757766649127,55,29,0,8,7.988894352689385,14.171939106658101,3.0969949951395392
43,7490,Mason Greenwood,Manchester United,31,1825,7,6.975748036056757,0.024251963943243027,2,2.4278998095542192,-0.42789980955421925,67,14,2,7,6.975748036056757,14.031832756474614,5.954058945178986
44,695,Bertrand Traoré,Aston Villa,36,2362,7,6.304105126298964,0.695894873701036,6,4.570987721905112,1.4290122780948877,64,35,1,7,6.304105126298964,9.835355166345835,1.3322140527889132
45,6026,Richarlison,Everton,34,2883,7,10.67026119865477,-3.670261198654771,3,3.3947611711919308,-0.39476117119193077,81,25,4,6,9.909092361107469,15.864714227616787,5.1744528617709875
46,2381,Rodrigo,Leeds,26,1285,7,5.755642192438245,1.2443578075617552,2,3.200529370456934,-1.200529370456934,46,31,3,7,5.755642192438245,10.81597439199686,4.3486531134694815
47,6441,Ferrán Torres,Manchester City,24,1305,7,5.7287076292559505,1.2712923707440495,2,2.202425992116332,-0.20242599211633205,36,18,1,7,5.7287076292559505,10.002996038645506,2.9583620112389326
48,1389,Jorginho,Chelsea,28,2022,7,6.972690678201616,0.02730932179838419,1,1.954869382083416,-0.954869382083416,14,24,2,0,0.12224532943218946,11.383730475790799,10.87897537369281
49,675,Jack Grealish,Aston Villa,26,2187,6,5.192683823406696,0.8073161765933037,10,9.334136627614498,0.6658633723855019,50,81,5,6,5.192683823406696,17.48746880888939,6.972043983638287
50,65,Timo Werner,Chelsea,35,2605,6,13.432795586064458,-7.432795586064458,8,6.66727664321661,1.33272335678339,80,36,2,6,13.432795586064458,20.533462934195995,5.242121719755232
